,ID,Name,Nationality,Club,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
87,226379,M. D?az,Argentina,Club Atl?tico Hurac?n,76,73,62,82,80
88,223952,David Soria,Spain,Getafe CF,81,73,66,81,75
89,220407,M. D?bravka,Slovakia,Newcastle United,75,80,81,76,80
90,216065,M. Sportiello,Italy,Frosinone,80,76,68,77,81
91,213732,A. Selikhov,Russia,Spartak Moscow,79,81,78,77,75
92,209307,Tiago Volpi,Brazil,Quer?taro,83,67,66,78,82
93,208104,Matheus,Brazil,SC Braga,80,73,71,77,80
94,205659,A. Cragno,Italy,Cagliari,82,76,60,76,85
95,204240,B. Reynet,France,Toulouse Football Club,77,76,74,77,81
96,198513,Cl?udio Ramos,Portugal,CD Tondela,81,76,65,74,80
97,158121,B. Costil,France,FC Girondins de Bordeaux,80,76,77,77,78
98,174543,C. Bravo,Chile,Manchester City,78,77,85,75,78
99,163806,Sergio,Spain,RC Celta,79,73,75,78,81
100,180714,Guilherme,Russia,Lokomotiv Moscow,82,73,72,78,80
101,176919,N. Guzm?n,Argentina,Tigres U.A.N.L.,76,75,67,80,78
102,135451,Gomes,Brazil,Watford,80,72,60,77,83
103,202789,A. Schwolow,Germany,SC Freiburg,76,77,71,72,79
104,142902,A. Pyatov,Ukraine,Shakhtar Donetsk,75,69,82,80,81
105,227127,?lex Remiro,Spain,Athletic Club de Bilbao,82,72,78,74,77
106,209981,Y. Bounou,Morocco,Girona FC,74,79,75,77,75
107,186953,O. Kıvrak,Turkey,Trabzonspor,78,74,67,75,81
108,115533,D. Benaglio,Switzerland,AS Monaco,76,79,61,79,72
109,176994,R. Gurtner,France,Amiens SC,78,75,74,75,79
110,188524,V. Babacan,Turkey,Medipol Ba?ak?ehir FK,77,76,68,79,78
111,183666,Roberto,Spain,RCD Espanyol,78,71,75,76,80
112,201095,A. Marches?n,Argentina,Club Am?rica,73,74,74,79,81
113,189324,A. McCarthy,England,Southampton,78,76,64,77,81
114,191628,L. Chichizola,Argentina,Getafe CF,78,77,68,74,79
115,139668,F. Marchetti,Italy,Genoa,76,76,65,77,78
116,199575,Jordi Masip,Spain,Real Valladolid CF,79,76,76,74,78
117,187570,Douglas,Brazil,Vit?ria Guimar?es,78,75,72,74,77
118,215223,W. Ben?tez,Argentina,OGC Nice,76,79,70,78,79
119,156092,J. Villar,Paraguay,,75,75,74,78,77
120,140233,G. Ochoa,Mexico,Standard de Li?ge,76,68,75,77,83
121,137677,M. Vorm,Netherlands,Tottenham Hotspur,78,72,70,73,78
122,212442,Jos? S?,Portugal,Olympiacos CFP,78,76,68,75,79
123,194781,Renan Ribeiro,Brazil,Sporting CP,82,75,67,73,78
124,190209,J. Hopf,Sweden,MKE Ankarag?c?,74,76,73,78,78
125,220932,L. Kalini?,Croatia,KAA Gent,81,75,42,76,80
126,146952,Iv?n Cu?llar,Spain,CD Legan?s,74,76,78,73,78
127,172553,J. L?ssl,Denmark,Huddersfield Town,74,77,67,74,77
128,200212,M. Esser,Germany,Hannover 96,76,74,69,75,78
129,211990,O. Vlachodimos,Greece,SL Benfica,79,68,65,74,82
130,232226,D. Boyko,Ukraine,Dynamo Kyiv,77,69,68,74,78
131,139062,W. Caballero,Argentina,Chelsea,75,72,71,77,76
132,14907,A. Bizzarri,Argentina,Foggia,76,74,66,82,76
133,199493,Diego Mari?o,Spain,Real Sporting de Gij?n,76,72,70,72,79
134,185181,Yoel,Spain,Real Valladolid CF,75,77,76,74,76
135,214110,J. Cuadrado,Colombia,Once Caldas,78,72,78,72,78
136,47201,S. Proto,Belgium,Lazio,75,73,73,78,77
137,182629,Beto,Portugal,G?ztepe SK,79,69,79,75,75
138,192358,S. Padt,Netherlands,FC Groningen,78,73,67,74,77
139,142959,M. Barbosa,Argentina,Villarreal CF,77,73,76,75,77
140,146296,Andr?s Fern?ndez,Spain,Villarreal CF,80,71,68,72,79
141,200332,T. Koubek,Czech Republic,Stade Rennais FC,78,76,71,74,76
142,199833,L. Unnerstall,Germany,VVV-Venlo,76,75,72,74,77
143,211101,Rub?n Blanco,Spain,RC Celta,79,75,73,76,74
144,172203,F. Forster,England,Southampton,72,76,64,77,78
145,230317,Fred An?b?o,Brazil,Atl?tico Paranaense,71,77,76,72,77
146,230318,Nelsildo Reis,Brazil,Botafogo,76,77,77,76,74
147,220604,Jaume,Spain,Valencia CF,74,73,73,74,82
148,207557,R. Olsen,Sweden,Roma,76,74,74,76,77
149,189908,L. Skorupski,Poland,Bologna,80,75,54,75,81
150,199641,M. Sels,Belgium,RC Strasbourg Alsace,79,69,70,75,80
151,163301,J. Orozco,Mexico,Santos Laguna,76,71,82,77,76
152,243952,A. Lunin,Ukraine,CD Legan?s,74,71,76,77,79
153,179954,T. Kraft,Germany,Hertha BSC,80,75,60,65,84
154,201976,A. Gomis,Senegal,SPAL,77,74,70,75,77
155,199417,H. Tekin,Turkey,Fenerbah?e SK,77,72,72,73,80
156,181256,M. Koz??ik,Slovakia,Viktoria Plze?,78,71,69,79,74
157,156433,A. Talavera,Mexico,Deportivo Toluca,80,71,71,72,76
158,230165,Sim?o Donatinho,Brazil,Cruzeiro,76,70,77,75,75
159,205849,E. Andrada,Argentina,Boca Juniors,77,71,67,72,78
160,234777,Z. Steffen,United States,Columbus Crew SC,76,71,72,70,83
161,107298,Y. Pel?,France,Olympique de Marseille,75,75,67,72,76
162,191011,L. Sepe,Italy,Parma,74,76,61,73,79
163,111661,C. Kameni,Cameroon,Fenerbah?e SK,78,76,72,72,75
164,140082,Rafael,Brazil,Cagliari,76,71,63,76,76
165,201269,F. Rønnow,Denmark,Eintracht Frankfurt,74,71,66,74,77
166,158777,P. Tschauner,Germany,Hannover 96,75,74,68,74,77
167,214076,N. Vikonis,Uruguay,Puebla FC,75,76,68,74,74
168,49472,L. Butelle,France,Angers SCO,78,74,65,76,74
169,114764,Iraizoz,Spain,Girona FC,69,77,74,85,67
170,195668,Joel Robles,Spain,Real Betis,79,70,76,71,78
171,225116,A. Meret,Italy,Napoli,77,71,66,75,78
172,200798,Marafona,Portugal,SC Braga,77,73,66,75,76
173,212067,C. Vargas,Colombia,Deportivo Cali,78,75,65,71,77
174,170084,W. Hennessey,Wales,Crystal Palace,75,76,81,76,72
175,183141,Oier,Spain,Levante UD,77,73,69,78,73
176,165735,B. Jones,Australia,Al Nassr,75,69,69,80,75
177,49000,A. McGregor,Scotland,Rangers FC,74,72,66,74,79
178,216939,A. Blake,Jamaica,Philadelphia Union,78,69,67,69,83
179,240493,A. Paschalakis,Greece,PAOK,80,66,64,70,81
180,231545,Miguel Silva,Portugal,Vit?ria Guimar?es,77,71,64,73,78
181,132740,J. Hansen,Denmark,FC Midtjylland,75,70,74,74,77
182,165769,C?ssio,Brazil,Al Taawoun,77,74,68,73,76
183,215698,M. Maignan,France,LOSC Lille,75,72,72,76,76
184,152211,R. ?zcan,Austria,Bayer 04 Leverkusen,73,71,71,76,75
185,202410,Serantes,Spain,CD Legan?s,80,72,74,71,76
186,189357,C. Toselli,Chile,CD Everton de Vi?a del Mar,75,74,69,76,76
187,200110,M. Bizot,Netherlands,AZ Alkmaar,79,72,63,71,76
188,206003,Y. Mvogo,Switzerland,RB Leipzig,79,73,70,69,78
189,230323,Ka?qu?o Castro,Brazil,Fluminense,77,76,61,72,73
190,221130,Y. Cardinale,France,OGC Nice,76,72,75,73,78
191,217805,A. Mart?n Arias,Argentina,Gimnasia y Esgrima La Plata,81,68,76,73,77
192,182736,Ricardo,Portugal,GD Chaves,78,74,63,75,74
193,215251,G. Herrera,Argentina,Club Atl?tico Talleres,74,73,70,74,77
194,169181,K. Vermeer,Netherlands,Feyenoord,78,65,69,77,80
195,206075,S. Johnstone,England,West Bromwich Albion,76,74,70,73,77
196,156412,J. Corona,Mexico,Cruz Azul,72,77,68,78,73
197,192009,J. Rodr?guez,Mexico,Lobos BUAP,77,71,66,75,73
198,189707,Da Costa,Brazil,Bologna,75,72,64,75,75
199,200463,T. Melia,United States,Sporting Kansas City,74,68,75,77,76
200,143632,V. Demirel,Turkey,Fenerbah?e SK,75,71,75,72,73
201,215069,R. Rey,Argentina,PAOK,76,70,69,75,78
202,163873,Eduardo,Portugal,Vitesse,73,73,71,76,73
203,173857,M. And?jar,Argentina,Estudiantes de La Plata,73,73,62,75,77
204,144172,S. Kırıntılı,Turkey,Atiker Konyaspor,74,72,68,73,76
205,186680,Ra?l Fern?ndez,Spain,UD Las Palmas,75,74,62,77,73
206,186681,Alberto,Spain,Rayo Vallecano,76,72,71,72,74
207,177475,T. Sippel,Germany,Borussia M?nchengladbach,75,69,79,70,78
208,204367,B. van Leer,Netherlands,NAC Breda,72,77,65,72,75
209,205409,S. Sosa,Uruguay,Monarcas Morelia,74,70,65,74,76
210,219754,Bruno Varela,Portugal,SL Benfica,76,70,63,74,78
211,179820,L. Robles,United States,New York Red Bulls,75,71,70,73,77
212,205942,S. Lung,Romania,Kayserispor,74,71,69,73,74
213,105846,A. Boruc,Poland,Bournemouth,74,73,62,76,74
214,53110,C. Gordon,Scotland,Celtic,75,71,67,70,77
215,205186,P. Gazzaniga,Argentina,Tottenham Hotspur,76,73,84,72,76
216,192397,Rafael,Brazil,Sampdoria,75,73,71,73,74
217,219793,T. Didillon,France,RSC Anderlecht,75,72,72,75,76
218,210327,A. Gianniotis,Greece,Olympiacos CFP,77,70,65,70,77
219,189084,E. Room,Curacao,PSV,75,74,69,70,76
220,239272,V. Barkas,Greece,AEK Athens,72,72,74,74,75
221,190120,K. Johnsson,Sweden,En Avant de Guingamp,75,70,76,76,77
222,162220,S. Bolat,Turkey,Royal Antwerp FC,72,75,76,71,75
223,230320,Victorino Magela,Brazil,Bahia,71,72,73,75,76
224,183475,S. Grytebust,Norway,Odense Boldklub,74,70,71,73,79
225,222900,W. Hahn,Netherlands,SC Heerenveen,75,71,66,68,79
226,230324,Adrianiscito,Brazil,Gr?mio,68,76,74,77,73
227,153275,J. Leca,France,Racing Club de Lens,72,69,71,75,77
228,214979,J. Musso,Argentina,Udinese,74,72,70,75,77
229,201931,Gabr?el,Brazil,Perugia,77,73,65,69,79
230,227275,A. Rossi,Argentina,Boca Juniors,72,69,60,76,75
231,150477,R. Salin,France,Sporting CP,78,64,68,74,79
232,212432,Cho Hyun Woo,Korea Republic,Daegu FC,75,71,59,74,76
233,193247,H. Lindner,Austria,Grasshopper Club Z?rich,78,69,64,69,78
234,212197,D. Heuer Fernandes,Portugal,SV Darmstadt 98,74,72,75,69,77
235,53739,L. Grant,England,Manchester United,74,72,74,74,76
236,186098,R. Cota,Mexico,Club Le?n,74,70,67,77,75
237,148212,A. Rebrov,Russia,Spartak Moscow,74,68,65,78,76
238,162297,D. Padelli,Italy,Inter,74,74,63,76,74
239,193786,F. Bardi,Italy,Frosinone,78,73,62,69,77
240,204549,D. Roef,Belgium,Waasland-Beveren,76,71,65,70,76
241,150278,J. Drobn?,Czech Republic,SV Werder Bremen,73,74,45,74,74
242,188938,C. ?lvarez,Argentina,Real Zaragoza,74,71,70,73,75
243,223249,G. Arias,Chile,Racing Club,74,69,69,74,78
244,204308,H. Van Crombrugge,Belgium,KAS Eupen,78,71,72,70,73
245,230170,Jaim Abra,Brazil,Am?rica FC (Minas Gerais),77,71,68,73,74
246,194333,R. Gikiewicz,Poland,1. FC Union Berlin,73,71,75,72,75
247,230175,Freder Cabral,Brazil,Atl?tico Mineiro,73,77,69,76,66
248,110638,Cifuentes,Spain,C?diz CF,69,76,66,79,70
249,193331,K. Darlow,England,Newcastle United,75,70,64,71,76
250,205878,S. Kapino,Greece,SV Werder Bremen,74,67,66,72,79
251,228413,E. Audero,Italy,Sampdoria,78,72,72,73,78
252,207935,M. Dituro,Argentina,Universidad Cat?lica,72,72,76,71,76
253,121937,M. Rensing,Germany,Fortuna D?sseldorf,74,73,67,70,75
254,224599,Yan Junling,China PR,Shanghai SIPG FC,73,71,70,71,76
255,194904,B. Hamid,United States,DC United,74,70,70,73,74
256,156253,J. Lewis,England,Aberdeen,77,68,67,71,76
257,184926,Fabiano,Brazil,FC Porto,75,70,73,74,72
258,232543,S. Bertoli,Argentina,Patronato,76,73,78,67,71
259,189024,M. Banguera,Ecuador,,68,70,65,77,77
260,2147,M. Stekelenburg,Netherlands,Everton,71,72,76,73,73
261,170597,T. Krul,Netherlands,Norwich City,74,72,68,68,74
262,157804,S. Carson,England,Derby County,72,70,72,74,73
263,184436,A. Smithies,England,Cardiff City,76,69,67,74,74
264,165493,N. Navarro,Argentina,San Lorenzo de Almagro,73,72,68,74,72
265,215417,C. Mathenia,Germany,1. FC N?rnberg,74,68,66,74,77
266,207998,D. Ward,Wales,Leicester City,73,72,64,69,75
267,110974,Riesgo,Spain,SD Eibar,74,76,66,73,70
268,228736,W. Far??ez,Venezuela,Millonarios FC,73,70,69,74,77
269,206218,P. Nardi,France,KSV Cercle Brugge,78,67,68,67,77
270,172939,K. Westwood,Republic of Ireland,Sheffield Wednesday,75,70,70,74,75
271,178571,Bracali,Brazil,Boavista FC,75,73,60,74,71
272,176526,L. Buri?n,Uruguay,Club Atl?tico Col?n,71,70,73,73,74
273,199568,K. Lamprou,Greece,Ajax,78,65,75,65,78
274,234642,E. Mendy,Senegal,Stade de Reims,72,70,63,72,74
275,164505,B. Guzan,United States,Atlanta United,73,68,73,72,75
276,192665,A. Luthe,Germany,FC Augsburg,77,68,61,73,76
277,205211,M. Borjan,Canada,,75,71,71,73,72
278,193186,N. Etheridge,Philippines,Cardiff City,74,67,63,74,74
279,182435,M. Langerak,Australia,Nagoya Grampus,75,73,52,69,76
280,228777,G. Banguera,Colombia,Atl?tico Huila,75,67,69,71,76
281,215985,F. Monetti,Argentina,Atl?tico Nacional,74,74,76,70,72
282,230328,Pierrino Faria,Brazil,Santos,77,65,62,75,76
283,230330,Nivo Serpinho,Brazil,Chapecoense,72,75,69,73,72
284,214462,I. Arboleda,Colombia,Club Atl?tico Banfield,76,72,65,69,75
285,199103,A. Dom?nguez,Ecuador,V?lez Sarsfield,74,66,67,70,74
286,204234,Edgar Bad?a,Spain,CF Reus Deportiu,77,68,66,74,75
287,18122,N. Penneteau,France,Sporting de Charleroi,70,76,66,81,66
288,174542,J. Herrera,Chile,Universidad de Chile,71,71,75,69,75
289,155344,Shin Hwa Yong,Korea Republic,Suwon Samsung Bluewings,74,67,68,73,76
290,215250,C. Rigamonti,Argentina,Belgrano de C?rdoba,72,64,63,78,76
291,204246,M. Bettinelli,England,Fulham,75,71,70,74,77
292,169697,D. Randolph,Republic of Ireland,Middlesbrough,75,66,66,71,75
293,190947,D. Jensen,Denmark,FC Utrecht,72,71,79,71,73
294,203239,Caio Secco,Brazil,CD Feirense,72,70,62,73,75
295,181481,D. Vukovic,Australia,KRC Genk,73,69,63,73,76
296,143598,L. Pocrnjic,Argentina,Club Atl?tico Aldosivi,73,71,64,74,73
297,190459,A. Hansen,Norway,Rosenborg BK,74,67,68,72,77
298,241671,D. Livakovi?,Croatia,Dinamo Zagreb,72,67,69,76,71
299,149258,A. Cordaz,Italy,Crotone,68,70,62,72,74
300,183567,E. Mulder,Netherlands,Swansea City,72,70,80,68,74
301,148496,A. Malarz,Poland,Legia Warszawa,71,64,62,73,75
302,163600,J. Ruddy,England,Wolverhampton Wanderers,72,66,73,72,73
303,175897,S. Ujkani,Kosovo,?aykur Rizespor,73,72,64,72,72
304,211738,M. Flekken,Netherlands,SC Freiburg,72,71,66,70,74
305,182043,Zeng Cheng,China PR,Guangzhou Evergrande Taobao FC,72,69,70,73,72
306,159265,C. Puggioni,Italy,Benevento,73,73,59,70,74
307,193314,Aitor,Spain,Levante UD,75,69,65,75,71
308,232229,J. Bijlow,Netherlands,Feyenoord,75,67,76,67,75
309,121134,A. Walke,Germany,FC Red Bull Salzburg,73,69,73,67,75
310,222511,E. Unsain,Argentina,Defensa y Justicia,78,66,74,62,77
311,190769,E. Lamanna,Italy,Spezia,70,72,66,71,74
312,193336,V. Belec,Slovenia,Sampdoria,73,72,60,71,74
313,202811,E. Mart?nez,Argentina,Arsenal,73,69,75,70,74
314,186941,R. Wolf,Germany,Fortuna D?sseldorf,73,69,68,70,72
315,207683,S. Dioudis,Greece,Panathinaikos FC,76,70,65,68,75
316,209990,R. Strebinger,Austria,SK Rapid Wien,71,64,62,75,78
317,243538,K. Letica,Croatia,Club Brugge KV,78,63,64,73,73
318,185427,O. Nyland,Norway,Aston Villa,73,67,77,73,74
319,223573,Munir,Morocco,M?laga CF,71,73,68,74,70
320,233306,D. Henderson,England,Sheffield United,73,70,68,68,74
321,241247,Su Boyang,China PR,Guizhou Hengfeng FC,72,70,70,73,72
322,52326,E. Jakupovi?,Switzerland,Leicester City,74,70,70,74,74
323,184422,L. Ardente,Argentina,San Mart?n de San Juan,70,71,82,74,71
324,190569,S. Frei,United States,Seattle Sounders FC,74,68,66,71,74
325,237419,A. Abedzadeh,Iran,Clube Sport Mar?timo,68,71,64,72,75
326,215414,Daniel Guimar?es,Brazil,CD Nacional,75,66,60,70,74
327,16254,T. Howard,United States,Colorado Rapids,72,73,72,72,70
328,211327,M. Goicoechea,Uruguay,Toulouse Football Club,71,72,71,70,72
329,161663,S. Viera,Uruguay,Junior FC,71,70,67,71,74
330,192129,K. Nordfeldt,Sweden,Swansea City,71,66,66,74,76
331,224900,A. Silbeira,Paraguay,,71,70,62,70,72
332,186511,Ren?,Spain,UD Almer?a,78,70,66,70,71
333,220048,S. Scuffet,Italy,Udinese,72,68,60,70,80
334,221584,J. Rinne,Sweden,Aalborg BK,72,68,72,69,75
335,223898,P. Bernardoni,France,N?mes Olympique,72,73,70,74,74
336,189342,C. Pinsoglio,Italy,Juventus,74,70,58,74,76
337,193182,W. Foderingham,England,Rangers FC,73,69,72,69,76
338,190113,M. G?nok,Turkey,Medipol Ba?ak?ehir FK,70,69,68,75,74
339,225701,P. Gallese,Peru,Tiburones Rojos de Veracruz,74,66,68,69,71
340,221610,D. Dibusz,Hungary,,73,67,70,70,74
341,215212,G. Sara,Argentina,Club Atl?tico Lan?s,72,70,73,69,74
342,214190,L. Castellanos,Colombia,Independiente Santa Fe,72,75,59,69,72
343,182959,A. Hru?ka,Czech Republic,Viktoria Plze?,68,69,74,70,75
344,224440,J. Pollersbeck,Germany,Hamburger SV,75,66,71,70,75
345,199101,Ra?l Lizoain,Spain,AD Alcorc?n,72,74,61,72,71
346,143306,T. Zengin,Turkey,Be?ikta? JK,72,74,46,76,74
347,148684,A. Al Habsi,Oman,Al Hilal,74,58,71,73,79
348,146637,Dani Gim?nez,Spain,Deportivo de La Coru?a,71,67,69,71,77
349,217813,G. Lajud,Mexico,Club Tijuana,72,66,63,73,75
350,230869,Unai Sim?n,Spain,Athletic Club de Bilbao,72,73,62,74,72
351,176345,Kwoun Sun Tae,Korea Republic,Kashima Antlers,72,70,65,72,71
352,200159,S. Ortega,Germany,DSC Arminia Bielefeld,74,66,74,69,77
353,155871,B. Białkowski,Poland,Ipswich Town,69,71,68,74,73
354,32740,J. Wiland,Sweden,Hammarby IF,66,76,68,78,67
355,188400,T. Kaminski,Belgium,KV Kortrijk,72,72,67,69,75
356,167666,J. Carrizo,Argentina,Monterrey,74,68,72,72,73
357,164853,A. Federici,Australia,Stoke City,72,69,77,70,71
358,101880,R. Green,England,Chelsea,73,70,60,72,74
359,232441,M. Higashiguchi,Japan,Gamba Osaka,71,72,75,70,70
360,167931,R. Elliot,Republic of Ireland,Newcastle United,73,69,76,71,74
361,222464,Sivera,Spain,Deportivo Alav?s,70,69,66,74,71
362,224003,Sergio Herrera,Spain,CA Osasuna,71,72,70,68,70
363,180739,E. Kawashima,Japan,RC Strasbourg Alsace,73,65,71,67,77
364,216325,A. Gunn,England,Southampton,70,71,69,67,75
365,168965,R. Riou,France,Sporting de Charleroi,71,70,73,70,70
366,176389,Jung Sung Ryong,Korea Republic,Kawasaki Frontale,70,66,78,69,72
367,159520,N. Fern?ndez,Argentina,Uni?n de Santa Fe,66,72,62,79,70
368,226085,L?o Jardim,Brazil,Rio Ave FC,76,68,67,66,72
369,185129,P. Glykos,Greece,PAOK,72,64,67,68,75
370,106795,G. Pegolo,Italy,Sassuolo,71,68,60,71,72
371,138798,G. Lux,Argentina,River Plate,70,67,75,71,72
372,148526,P. Kieszek,Poland,M?laga CF,73,67,71,66,72
373,215086,B. Cort?s,Chile,Colo-Colo,71,70,69,70,73
374,217646,S. Nishikawa,Japan,Urawa Red Diamonds,73,68,75,70,76
375,241976,Tiago S?,Portugal,SC Braga,71,70,68,72,71
376,211515,P. Gollini,Italy,Atalanta,73,61,63,71,76
377,223550,J. Omlin,Switzerland,FC Basel 1893,72,68,69,68,73
378,197439,F. Wiedwald,Germany,Eintracht Frankfurt,76,63,70,65,76
379,205122,Adriano Facchini,Brazil,Al Batin,72,69,61,73,72
380,156483,C. Lucchetti,Argentina,Atl?tico Tucum?n,71,68,75,64,75
381,224836,V. Milinkovi?-Savi?,Serbia,SPAL,70,69,77,70,71
382,209483,M. Hassen,Tunisia,OGC Nice,75,65,65,68,75
383,185172,V. Fiorillo,Italy,Pescara,71,68,64,68,74
384,219736,E. Horvath,United States,Club Brugge KV,76,65,63,68,77
385,222562,R. R?narsson,Iceland,Dijon FCO,72,69,73,71,72
386,194916,Ant?nio Filipe,Portugal,GD Chaves,70,72,65,70,71
387,192613,C. Pantilimon,Romania,Nottingham Forest,68,69,66,73,74
388,169321,M. Fraga,Mexico,U.N.A.M.,70,71,74,72,71
389,186990,H. Gonz?lez,Mexico,Club Necaxa,74,70,69,71,71
390,197233,A. Diallo,Senegal,Stade Rennais FC,70,68,65,72,71
391,232562,K. Nakamura,Japan,Kashiwa Reysol,76,59,68,63,79
